2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0093818 7.6
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0097965 6.4
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0109348 7.5
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0116242 6.8
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0118954 7.4
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0120533 6.3
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0196216 6.7
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0256524 6.8
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0278823 6.6
2000000.0 nm0000095 nm0000095 7.1 tt0066808 tt0313792 6.4
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0066808 7.1
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0068555 6.8
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0070707 7.3
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0075686 8.1
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0093818 7.6
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0097965 6.4
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0109348 7.5
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0116242 6.8
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0118954 7.4
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0120533 6.3
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0196216 6.7
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0256524 6.8
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0278823 6.6
2000000.0 nm0000095 nm0000095 6.8 tt0068555 tt0313792 6.4
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0066808 7.1
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0068555 6.8
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0070707 7.3
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0075686 8.1
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0093818 7.6
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0097965 6.4
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0109348 7.5
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0116242 6.8
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0118954 7.4
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0120533 6.3
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0196216 6.7
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0256524 6.8
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0278823 6.6
2000000.0 nm0000095 nm0000095 7.3 tt0070707 tt0313792 6.4
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0066808 7.1
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0068555 6.8
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0070707 7.3
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0075686 8.1
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0093818 7.6
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0097965 6.4
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0109348 7.5
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0116242 6.8
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0118954 7.4
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0120533 6.3
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0196216 6.7
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0256524 6.8
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0278823 6.6
4000000.0 nm0000095 nm0000095 8.1 tt0075686 tt0313792 6.4
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0066808 7.1
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0068555 6.8
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0070707 7.3
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0075686 8.1
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0093818 7.6
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0097965 6.4
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0109348 7.5
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0116242 6.8
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0118954 7.4
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0120533 6.3
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0196216 6.7
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0256524 6.8
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0278823 6.6
16000000.0 nm0000095 nm0000095 7.6 tt0093818 tt0313792 6.4
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0066808 7.1
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0068555 6.8
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0070707 7.3
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0075686 8.1
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0093818 7.6
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0097965 6.4
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0109348 7.5
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0116242 6.8
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0118954 7.4
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0120533 6.3
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0196216 6.7
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0256524 6.8
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0278823 6.6
15000000.0 nm0000095 nm0000095 6.4 tt0097965 tt0313792 6.4
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0066808 7.1
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0068555 6.8
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0070707 7.3
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0075686 8.1
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0093818 7.6
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0097965 6.4
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0109348 7.5
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0116242 6.8
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0118954 7.4
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0120533 6.3
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0196216 6.7
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0256524 6.8
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0278823 6.6
20000000.0 nm0000095 nm0000095 7.5 tt0109348 tt0313792 6.4
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0066808 7.1
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0068555 6.8
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0070707 7.3
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0075686 8.1
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0093818 7.6
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0097965 6.4
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0109348 7.5
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0116242 6.8
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0118954 7.4
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0120533 6.3
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0196216 6.7
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0256524 6.8
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0278823 6.6
20000000.0 nm0000095 nm0000095 6.8 tt0116242 tt0313792 6.4
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0066808 7.1
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0068555 6.8
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0070707 7.3
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0075686 8.1
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0093818 7.6
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0097965 6.4
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0109348 7.5
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0116242 6.8
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0118954 7.4
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0120533 6.3
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0196216 6.7
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0256524 6.8
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0278823 6.6
20000000.0 nm0000095 nm0000095 7.4 tt0118954 tt0313792 6.4
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0066808 7.1
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0068555 6.8
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0070707 7.3
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0075686 8.1
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0093818 7.6
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0097965 6.4
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0109348 7.5
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0116242 6.8
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0118954 7.4
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0120533 6.3
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0196216 6.7
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0256524 6.8
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0278823 6.6
12000000.0 nm0000095 nm0000095 6.3 tt0120533 tt0313792 6.4
